hostname	location	active	owned	provider	stboot	ipv4_addr_in	ipv4_in_aws	ipv4_score	include_in_country	weight	pubkey	ipv6_addr_in	ipv6_in_aws	ipv6_score	shadowsocks_addr_in	shadowsocks_in_aws	shadowsocks_score	daita	quic_addr_in	quic_in_aws	quic_score
de-ber-wg-004	de-ber	True	True	31173	True	193.32.248.69	False	44	True	100	34m7HVsChYI4i43ni8u2jUoIy0oqNGmKjbtqVhH9OVU=	2a03:1b20:b:f011::f301	False	None	151.241.171.140	False	None	False	151.241.171.130	False	None
ch-zrh-wg-001	ch-zrh	True	True	31173	True	193.32.127.66	False	14	True	1	/iivwlyqWqxQ0BVWmJRhcXIFdJeo0WbHQ/hZwuXaN3g=	2a03:1b20:a:f011::f001	False	None	2a03:1b20:a:f011::b002	False	None	False	193.32.127.99	False	None
de-dus-wg-002	de-dus	True	False	xtom	True	185.254.75.4	False	20	True	150	TPAIPTgu9jIitgX1Bz5xMCZJ9pRRZTdtZEOIxArO0Hc=	2a03:d9c0:3000::a21f	False	None	None	None	None	False	None	None	None
cl-scl-wg-001	cl-scl	True	False	DataPacket	True	149.88.104.2	False	42	True	100	03qeK7CSn6wcMzfqilmVt6Tf81VZIPWnSG04euSkyxM=	2a02:6ea0:fc02:2::f001	False	None	None	None	None	False	None	None	None
ch-zrh-wg-504	ch-zrh	False	False	M247	True	77.243.184.130	False	73	True	200	5ioE7vTw80KVx0S/zYOZonR5ZkR+uiNJogR9Pyqtwzg=	2001:ac8:28:ad::f001	False	None	77.243.184.144	False	None	True	77.243.184.133	False	None
de-ber-wg-102	de-ber	False	False	DataPacket	True	152.233.51.33	False	42	True	100	MtogyH8/s2OsJls9gmCi+HpJE+lqsA7Mj58f7pDihTA=	2a02:6ea0:5e03:4::f001	False	None	152.233.51.34	False	None	True	152.233.51.35	False	None
de-fra-wg-001	de-fra	True	True	31173	True	185.213.155.73	False	44	True	25	HQHCrq4J6bSpdW1fI5hR/bvcrYa6HgGgwaa5ZY749ik=	2a03:1b20:6:f011::f001	False	None	2a03:1b20:6:f011::b002	False	None	False	185.213.155.99	False	None
de-fra-wg-103	de-fra	True	False	M247	True	135.136.19.2	False	38	True	100	V7g+GpphZny5CWgDdClejTQX3ImrYFRh+CVETeOWRBU=	2001:ac8:20:271::f001	False	None	135.136.19.16	False	None	False	135.136.19.5	False	None
de-fra-wg-402	de-fra	True	False	DataPacket	True	169.150.201.15	False	44	True	100	6/PBbPtoeWpJA+HZc9Iqg/PPQWD7mGVvZdwQlr1vtRk=	2a02:6ea0:c762:2::a36f	False	None	None	None	None	False	None	None	None
de-fra-wg-004	de-fra	True	True	31173	True	185.209.196.74	False	44	True	25	tzYLWgBdwrbbBCXYHRSoYIho4dHtrm+8bdONU1I8xzc=	2a03:1b20:6:f011::f301	False	None	151.241.163.160	False	None	True	151.241.163.140	False	None
de-fra-wg-403	de-fra	True	False	DataPacket	True	169.150.201.28	False	44	True	100	HWzSNMbQOQafkVp68B7aLRirhNJ6x5Wjw8/y7oUuHW0=	2a02:6ea0:c762:3::a37f	False	None	None	None	None	False	None	None	None
de-fra-wg-401	de-fra	True	False	DataPacket	True	169.150.201.2	False	44	True	100	AbM8fnQWmmX6Nv0Tz68LigPbGkamJgNjxgzPfENOdXU=	2a02:6ea0:c762:1::a35f	False	None	None	None	None	False	None	None	None
de-fra-wg-303	de-fra	True	False	xtom	True	194.36.25.33	False	20	True	100	2P+9SjwVCEnMDnBiYfZtQLq9p2S2TFhCM0xJBoevYk4=	2a07:fe00:1::a25f	False	None	None	None	None	False	None	None	None
